City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Katsuura,JP,2021-07-28 00:09:13,35.1333,140.3,84.31,80,93,17.6
139,Albury,AU,2021-07-28 00:13:06,-36.0833,146.9167,53.65,82,90,6.91
140,Lobito,AO,2021-07-28 00:13:15,-12.3481,13.5456,69.75,84,26,1.59
141,Bontang,ID,2021-07-28 00:13:16,0.1333,117.5,79.54,83,96,7.14
142,Fortuna,US,2021-07-28 00:13:16,40.5982,-124.1573,82.18,84,100,7.0
143,Guisa,CU,2021-07-28 00:13:16,20.255,-76.5386,82.71,90,91,3.98
144,Xichang,CN,2021-07-28 00:13:16,27.8964,102.2634,67.37,95,99,1.01
145,Ust-Tsilma,RU,2021-07-28 00:13:17,65.441,52.1498,43.02,92,56,7.67
146,Longyearbyen,SJ,2021-07-28 00:13:17,78.2186,15.6401,42.64,93,75,11.5
147,Uyemskiy,RU,2021-07-28 00:13:17,64.4743,40.8524,42.85,100,13,2.24
148,Kununurra,AU,2021-07-28 00:09:43,-15.7667,128.7333,75.18,73,7,0.0
149,Carnarvon,AU,2021-07-28 00:13:18,-24.8667,113.6333,66.49,55,100,7.54
150,Gilgit,PK,2021-07-28 00:13:18,35.9221,74.3087,86.59,54,30,3.2
151,Vardo,NO,2021-07-28 00:13:18,70.3705,31.1107,48.4,88,82,12.93
152,Lavrentiya,RU,2021-07-28 00:12:16,65.5833,-171.0,44.24,99,100,9.62
153,Qaanaaq,GL,2021-07-28 00:13:19,77.484,-69.3632,42.01,99,100,7.02
154,Ambovombe,MG,2021-07-28 00:13:19,-25.1667,46.0833,64.31,77,51,18.03
155,Mitha Tiwana,PK,2021-07-28 00:13:19,32.2486,72.1108,91.42,59,57,8.19
156,Conceicao Do Araguaia,BR,2021-07-28 00:13:20,-8.2578,-49.2647,76.6,34,0,3.36
157,Gat,IL,2021-07-28 00:13:20,31.61,34.7642,79.48,77,0,0.69
158,Norman Wells,CA,2021-07-28 00:13:20,65.282,-126.8329,68.16,48,96,8.86
159,Provideniya,RU,2021-07-28 00:13:20,64.3833,-173.3,50.11,87,90,15.66
160,Cockburn Town,TC,2021-07-28 00:13:21,21.4612,-71.1419,81.97,75,47,17.4
161,Berdigestyakh,RU,2021-07-28 00:13:21,62.0989,126.6992,66.07,51,6,5.23
162,Kenai,US,2021-07-28 00:09:24,60.5544,-151.2583,70.03,70,1,19.57
163,Massaguet,TD,2021-07-28 00:13:21,12.4755,15.4365,74.35,88,97,9.01
164,Lethem,GY,2021-07-28 00:13:22,3.3803,-59.7968,76.87,85,41,5.03
165,Kasongo-Lunda,CD,2021-07-28 00:13:22,-6.4667,16.8167,65.21,27,11,2.53
166,Cabo San Lucas,MX,2021-07-28 00:13:22,22.8909,-109.9124,96.62,58,1,13.8
